"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","TRADEGOOD","EXP","MLN_USD","A","2016",520961.7,
"FRA","TRADEGOOD","EXP","MLN_USD","A","2017",558217.8,
"FRA","TRADEGOOD","EXP","MLN_USD","A","2018",611092.9,
"DEU","TRADEGOOD","EXP","MLN_USD","A","2007",1268689,
"DEU","TRADEGOOD","EXP","MLN_USD","A","2008",1387074,
"DEU","TRADEGOOD","EXP","MLN_USD","A","2009",1069717,
"DEU","TRADEGOOD","EXP","MLN_USD","A","2010",1211896,
"DEU","TRADEGOOD","EXP","MLN_USD","A","2011",1428746,
"DEU","TRADEGOOD","EXP","MLN_USD","A","2012",1374050,
"DEU","TRADEGOOD","EXP","MLN_USD","A","2013",1422357,
"DEU","TRADEGOOD","EXP","MLN_USD","A","2014",1468663,
"DEU","TRADEGOOD","EXP","MLN_USD","A","2015",1294127,
"DEU","TRADEGOOD","EXP","MLN_USD","A","2016",1303387,
"DEU","TRADEGOOD","EXP","MLN_USD","A","2017",1416153,
"DEU","TRADEGOOD","EXP","MLN_USD","A","2018",1525608,
"GRC","TRADEGOOD","EXP","MLN_USD","A","2007",28233.28,
"GRC","TRADEGOOD","EXP","MLN_USD","A","2008",32049.07,
"GRC","TRADEGOOD","EXP","MLN_USD","A","2009",24619.32,
"GRC","TRADEGOOD","EXP","MLN_USD","A","2010",26779.91,
"GRC","TRADEGOOD","EXP","MLN_USD","A","2011",32019.36,
"GRC","TRADEGOOD","EXP","MLN_USD","A","2012",33967.59,
"GRC","TRADEGOOD","EXP","MLN_USD","A","2013",34764.48,
"GRC","TRADEGOOD","EXP","MLN_USD","A","2014",34695.73,
"GRC","TRADEGOOD","EXP","MLN_USD","A","2015",27517.84,
"GRC","TRADEGOOD","EXP","MLN_USD","A","2016",27218.29,
"GRC","TRADEGOOD","EXP","MLN_USD","A","2017",31609.48,
"GRC","TRADEGOOD","EXP","MLN_USD","A","2018",38206.14,
"HUN","TRADEGOOD","EXP","MLN_USD","A","2007",91412.24,
"HUN","TRADEGOOD","EXP","MLN_USD","A","2008",104569.6,
"HUN","TRADEGOOD","EXP","MLN_USD","A","2009",78733.34,
"HUN","TRADEGOOD","EXP","MLN_USD","A","2010",87626.14,
"HUN","TRADEGOOD","EXP","MLN_USD","A","2011",99758.27,
"HUN","TRADEGOOD","EXP","MLN_USD","A","2012",89991.62,
"HUN","TRADEGOOD","EXP","MLN_USD","A","2013",93309.71,
"HUN","TRADEGOOD","EXP","MLN_USD","A","2014",97955.26,
"HUN","TRADEGOOD","EXP","MLN_USD","A","2015",87095.38,
"HUN","TRADEGOOD","EXP","MLN_USD","A","2016",86925.13,
"HUN","TRADEGOOD","EXP","MLN_USD","A","2017",96413.47,
"HUN","TRADEGOOD","EXP","MLN_USD","A","2018",104582.9,
"ISL","TRADEGOOD","EXP","MLN_USD","A","2007",4103.066,
